pdb_id,status,size_kb,reason
1KZO,downloaded,568,
1KZP,downloaded,564,
1KZY,downloaded,603,
1L6J,downloaded,313,
1LD7,downloaded,567,
1LD8,downloaded,582,
1LG5,downloaded,211,
1LG6,downloaded,213,
1LGD,downloaded,211,
1LHN,downloaded,165,
1LHV,downloaded,161,
1LPH,downloaded,122,
1LT8,downloaded,519,
1LUG,downloaded,814,
1LZV,downloaded,195,
1M6H,downloaded,568,
1M6W,downloaded,554,
1M9J,downloaded,581,
1M9K,downloaded,607,
1M9M,downloaded,612,
1M9Q,downloaded,615,
1MA0,downloaded,557,
1MA3,downloaded,202,
1MFM,downloaded,172,
1MMB,downloaded,204,
1MMP,downloaded,276,
1MMQ,downloaded,151,
1MMR,downloaded,149,
1MNC,downloaded,142,
1MOO,cached,394,
1MP0,downloaded,563,
1MQ0,downloaded,203,
1MSO,downloaded,187,
1MUA,downloaded,199,
1MZC,downloaded,582,
1N18,downloaded,1088,
1N19,downloaded,236,
1N4Q,downloaded,2841,
1NW9,downloaded,244,
1O86,downloaded,460,
1O8A,downloaded,464,
1OEZ,downloaded,380,
1OKL,downloaded,203,
1OKM,downloaded,207,
1OKN,downloaded,207,
1OQ5,downloaded,395,
1OQJ,downloaded,162,
1OS2,downloaded,778,
1OS3,downloaded,105,
1OS4,downloaded,223,
1OS9,downloaded,816,
1OXN,downloaded,434,
1OXQ,downloaded,436,
1OYN,downloaded,959,
1OZJ,downloaded,253,
1OZU,downloaded,403,
1P1V,downloaded,365,
1PI1,downloaded,154,
1PJP,downloaded,197,
1PL6,downloaded,1104,
1PL7,downloaded,1007,
1PL8,downloaded,1054,
1PTW,downloaded,942,
1PTZ,downloaded,230,
1PU0,cached,1078,
1PV8,downloaded,409,
1Q3A,downloaded,419,
1Q4V,downloaded,112,
1Q7L,downloaded,868,
1Q9M,downloaded,946,
1QF8,downloaded,303,
1QH3,downloaded,406,
1QH5,downloaded,398,
1QIA,downloaded,538,
1QIC,downloaded,487,
1QIN,downloaded,287,
1QIP,downloaded,611,
1QIY,downloaded,262,
1QIZ,downloaded,271,
1QJ0,downloaded,113,
1QR2,downloaded,451,
1R1H,downloaded,523,
1R1J,downloaded,506,
1R42,downloaded,492,
1R54,downloaded,175,
1R55,downloaded,190,
1R8Q,downloaded,595,
1RAY,downloaded,215,
1RAZ,downloaded,213,
1RHF,downloaded,290,
1RKP,downloaded,249,
1RM8,downloaded,165,
1RMZ,downloaded,283,
1RO6,downloaded,542,
1RO9,downloaded,510,
1ROR,downloaded,523,
1ROS,downloaded,287,
1RWE,downloaded,121,
1S4B,downloaded,493,
1S63,downloaded,572,
1SA4,downloaded,582,
1SG0,downloaded,376,
1SLM,downloaded,246,
1SLN,downloaded,190,
1SOS,cached,1053,
1SPD,downloaded,227,
1SQM,downloaded,472,
1SU3,downloaded,674,
1T64,downloaded,594,
1T67,downloaded,283,
1T9N,downloaded,202,
1T9R,downloaded,252,
1T9S,downloaded,531,
1TAZ,downloaded,272,
1TB0,downloaded,207,
1TB5,downloaded,490,
1TB7,downloaded,544,
1TBB,downloaded,539,
1TBF,downloaded,530,
1TBT,downloaded,208,
1TE3,downloaded,210,
1TEQ,downloaded,205,
1TEU,downloaded,207,
1TG3,downloaded,204,
1TG9,downloaded,203,
1TH9,downloaded,203,
1THK,downloaded,203,
1TN6,downloaded,583,
1TQ7,downloaded,258,
1TRZ,downloaded,127,
1TSR,downloaded,514,
1TTM,downloaded,211,
1TUP,cached,524,
1TW6,downloaded,210,
1TYL,downloaded,122,
1TYM,downloaded,120,
1U3T,downloaded,539,
1U3U,downloaded,595,
1U3V,downloaded,589,
1U3W,downloaded,574,
1UBD,downloaded,186,
1UDT,downloaded,248,
1UGA,downloaded,201,
1UGB,downloaded,201,
1UGC,downloaded,201,
1UGD,downloaded,201,
1UGE,downloaded,201,
1UGF,downloaded,204,
1UGG,downloaded,198,
1UHO,downloaded,250,
1UOL,downloaded,317,
1USN,downloaded,175,
1UTT,downloaded,162,
1UTZ,downloaded,285,
1UV0,downloaded,131,
1UVQ,downloaded,329,
1UXL,downloaded,1235,
1UXM,downloaded,1300,
1UZ9,downloaded,131,
1UZE,downloaded,450,
1UZF,downloaded,449,
1VEC,downloaded,318,
1VKG,downloaded,993,
1W22,downloaded,525,
1W4R,downloaded,1054,
1W8P,downloaded,258,
1WAA,downloaded,491,
1XB0,downloaded,508,
1XBT,downloaded,957,
1XCR,downloaded,458,
1XDA,downloaded,222,
1XEG,downloaded,212,
1XEV,downloaded,750,
1XI2,downloaded,377,
1XKI,downloaded,132,
1XLX,downloaded,502,
1XLZ,downloaded,509,
1XM4,downloaded,510,
1XM6,downloaded,534,
1XMU,downloaded,511,
1XMY,downloaded,504,
1XN0,downloaded,526,
1XOM,downloaded,570,
1XON,downloaded,568,
1XOQ,downloaded,546,
1XOR,downloaded,547,
1XOS,downloaded,269,
1XOT,downloaded,504,
1XOZ,downloaded,531,
1XP0,downloaded,276,
1XPZ,downloaded,211,
1XQ0,downloaded,215,
1XTG,downloaded,377,
1XUC,downloaded,303,
1XUD,downloaded,306,
1XUR,downloaded,311,
1XW7,downloaded,117,
1Y02,downloaded,99,
1Y2B,downloaded,545,
1Y2C,downloaded,540,
1Y2D,downloaded,562,
1Y2E,downloaded,519,
1Y2H,downloaded,496,
1Y2K,downloaded,562,
1Y8J,downloaded,514,
1Y8Q,downloaded,1187,
1Y93,downloaded,567,
1YC5,downloaded,213,
